completion date,Title,author(s),pages,review,rating,status,format,platform,publisher,Imprint,publication date,type,genre,language
2022/01/06,The Happy Closet,Annmarie O'Connor,302,n,2,Completed,Audiobook,BorrowBox,Gill Books,Gill Books,30-Dec-2016,Nonfiction,Fashion,eng
2021/07/01,Magpie Murders,Anthony Horowitz,560,y,2,Completed,Audiobook,BorrowBox,Orion,Orion,16-Nov-2017,Fiction,Mystery,eng
2018/04/22,Magpie Murders,Anthony Horowitz,560,y,2,Completed,Physical Book,,Orion,Orion,16-Nov-2017,Fiction,Mystery,eng
2021/08/14,The Sentence Is Death,Anthony Horowitz,400,y,2,Completed,Audiobook,Audible,penguin,Century,24-Sep-2019,Fiction,Mystery,eng
2021/07/05,Moonflower Murders,Anthony Horowitz,608,y,2,Completed,Audiobook,Audible,penguin,Arrow,29-Apr-2021,Fiction,Mystery,eng
2020/10/04,The Warden,Anthony Trollope,201,y,1,Completed,Physical Book,,Penguin,Penguin Classics,1-Jan-2004,Fiction,Humour/ Satire,eng
2020/10/26,Doctor Thorne,Anthony Trollope,592,y,4,Completed,Physical Book,,Penguin,Penguin Classics,25-Apr-1991,Fiction,Literary Fiction,eng
2020/04/27,Simon vs. the Homo Sapiens Agenda,Becky Albertalli,368,y,2,Completed,Physical Book,,Penguin,Penguin,7-Apr-2015,Fiction,Bildungsroman,eng
2020/03/11,Bad Science,Ben Goldacre,382,y,4,Completed,Physical Book,,HarperCollins,Fourth Estate (GB),1-Apr-2009,Nonfiction,science,eng
2022/01/17,Hunch: Turn Your Everyday Insights into the Next Big Thing,Bernadette Jiwa,176,n,4,Completed,Audiobook,BorrowBox,Penguin,Penguin,1-Jun-2017,Nonfiction,Business,eng
2020/05/31,A Short History of Nearly Everything,Bill Bryson,672,n,3,Completed,Audiobook,Libby,penguin,Black Swan,16-Jun-2016,Nonfiction,science,eng
2021/05/23,Elantris,Brandon Sanderson,608,n,3,Completed,Audiobook,Audible,Orion,Gollancz,8-Sep-2016,Fiction,Fantasy,eng
2020/12/22,The Hero of Ages,Brandon Sanderson,768,y,3.5,Completed,Physical Book,,Orion,Gollancz,11-Feb-2010,Fiction,Fantasy,eng
2020/11/24,The Well of Ascension,Brandon Sanderson,800,y,2.5,Completed,Physical Book,,Orion,Gollancz,10-Dec-2009,Fiction,Fantasy,eng
2020/11/06,The Final Empire,Brandon Sanderson,672,y,4.5,Completed,Physical Book,,Orion,Gollancz,1-Oct-2009,Fiction,Fantasy,eng
2021/06/02,The Binding,Bridget Collins,448,y,5,Completed,Physical Book,,HarperCollins,The Borough Press,26-Dec-2019,Fiction,Fantasy,eng
,The Year of Less,Cait Flanders,218,,,DNF,Audiobook,BorrowBox,Hay House UK,Hay House UK,15-Jan-2019,Fiction,Self Help,eng
2021/11/13,The Psychology of Fashion,Carolyn Mair,150,n,3,Completed,Audiobook,Libby,Routledge,Routledge,15-Mar-2018,Nonfiction,Fashion,eng
2022/04/09,Noise: A Flaw in Human Judgment,"Cass Sunstein, Daniel Kahneman, and Olivier Sibony",320,n,,DNF,Audiobook,Libby,William Collins,William Collins,31-May-2022,Nonfiction,Data,eng
2020/02/04,Tale of Two Cities,Charles Dickens,480,n,2,Completed,Physical Book,,Penguin,Penguin Classics,26-Apr-2012,Fiction,Literary Fiction,eng
2020/10/24,Shirley,Charlotte Bronte,528,y,4,Completed,Physical Book,,Wordsworth Editions,Wordsworth Editions,5-Aug-1993,Fiction,Romance,eng
2021/09/01,The Girl Who Reads on the Métro,Christine Féret-Fleury,208,y,1,Completed,Audiobook,BorrowBox,Macmillan Publishers,Mantle,17-Oct-2019,Fiction,Contemporary,eng
2020/01/26,Murder by the Book: The Crime That Shocked Dickens's London,Claire Harman,272,n,,Completed,Physical Book,,Penguin Random House,Vintage,25-Oct-2018,Nonfiction,History,eng
2022/04/22,Storytelling with Data: A Data Visualization Guide for Business Professionals,Cole Nussbaumer Knaflic,288,n,3.5,Completed,E-Book,Kindle,Wiley,Wiley,20-Nov-2015,Nonfiction,Data,eng
2018/02/16,My Lady Jane,"Cynthia Hand, Brodi Ashton, Jodi Meadows",352,y,3,Completed,Physical Book,,Trustbridge Global Media,Walker Books,1-Sep-2016,Fiction,Humour/ Satire,eng
2017/03/31,Lady Chatterley's Lover,D. H. Lawrence,384,y,4.5,Completed,Physical Book,,Alma Books,Alma Classics,15-Mar-2015,Fiction,Romance,eng
2022/04/18,"Thinking, Fast and Slow",Daniel Kahneman,512,y,4,Completed,Audiobook,BorrowBox,Penguin,Penguin,10-May-2021,Nonfiction,Psychology,eng
2022/04/13,Dishonesty is the Second-Best Policy: And Other Rules to Live By,David Mitchell,272,y,4,Completed,Audiobook,Audible,Faber & Faber,Guardian Faber Publishing,3-Sep-2020,Nonfiction,Humour/ Satire,eng
2021/09/10,A House Through Time,David Olusoga,304,y,4.5,Completed,Audiobook,BorrowBox,Macmillan Publishers,Picador,2-Sep-2021,Nonfiction,Architectural History,eng
2019/02/28,Jacques the Fatalist and His Master,Denis Diderot,261,y,2.5,Completed,Physical Book,,Penguin Random House,Penguin Classics,30-Jan-1986,Fiction,Humour/ Satire,jp
2020/08/22,Once Upon a River,Diane Setterfield,432,y,3.5,Completed,Physical Book,,penguin,Black Swan,29-Aug-2019,Fiction,Fantasy,eng
2021/08/14,The Hitchhiker's Guide to the Galaxy,Douglas Adams,244,y,3,Completed,Audiobook,Libby,Macmillan Publishers,Pan,5-Mar-2020,Fiction,Humour/ Satire,eng
2019/03/19,A Room with a View,E.M. Forster,256,y,4,Completed,Physical Book,,Penguin Random House,Penguin Classics,27-Sep-2012,Fiction,Romance,eng
,Maurice,E.M. Forster,272,n,,Completed,Physical Book,,Penguin Random House,Penguin Classics,28-Jul-2005,Fiction,Romance,eng
2022/01/10,The Ex Hex: Never mix witchcraft and vodka . . . a spellbinding TikTok-sensation rom-com! Kindle Edition,Erin Sterling,322,y,3,Completed,Audiobook,Audible,Hachette Book,Headline Eternal,28-Sep-2021,Fiction,Fantasy,eng
2017/02/17,The Great Gatsby,F. Scott Fitzgerald,256,n,,Completed,Physical Book,,Alma Books,Alma Classics,20-Oct-2016,Fiction,Literary Fiction,eng
,If I Had Your Face,Frances Cha,288,,,incomplete,Audiobook,Libby,Penguin,Penguin,24-Jun-2021,Fiction,Contemporary,eng
,THE SECRET GARDEN,Frances Hodgson Burnett,375,n,5,Completed,Physical Book,,William Collins,Collins Classics,1-Jun-2017,Fiction,Adventure,eng
2022/02/20,Metamorphosis,Franz Kafka,72,y,3,Completed,Audiobook,Audible,Blackstone,Blackstone Audio,27-Apr-2011,Fiction,Literary Fiction,eng
,The Thief,Fuminori Nakamura,224,,,DNF,Audiobook,Audible,Hachette Book,Corsair,16-May-2013,Fiction,Literary Fiction,eng
2019/03/10,Crime and Punishment,Fyodor Dostoevsky,528,y,2.5,Completed,Physical Book,,Wordsworth Editions,Wordsworth Editions,5-May-2000,Fiction,Literary Fiction,eng
2018/12/10,Eleanor Oliphant is Completely Fine,Gail Honeyman,400,y,5,Completed,Physical Book,,HarperCollins,HarperCollins,25-Jan-2018,Fiction,Contemporary,eng
,1984,George Orwell,336,n,,Completed,Physical Book,,Penguin,Penguin,3-Jul-2008,Fiction,Dystopian,eng
2021/02/06,Why Mummy Drinks,Gill Sims,352,y,3,Completed,Audiobook,BorrowBox,HarperCollins,HarperCollins,31-May-2018,Nonfiction,Humour/ Satire,eng
2022/04/01,Economics: The User's Guide,Ha-Joon Chang,365,n,3,Completed,Audiobook,Audible,Penguin,Pelican,1-May-2014,Nonfiction,Economics,eng
2021/12/12,Economics: The User's Guide,Ha-Joon Chang,365,y,4,Completed,Audiobook,Audible,Penguin,Pelican,1-May-2014,Nonfiction,Economics,eng
2022/04/26,23 Things They Don't Tell You About Capitalism,Ha-Joon Chang,288,y,4.5,Completed,Physical Book,,Penguin,Penguin,1-Sep-2011,Nonfiction,Economics,eng
2020/02/18,The Five: The Untold Lives of the Women Killed by Jack the Ripper,Hallie Rubenhold,432,y,5,Completed,Audiobook,BorrowBox,penguin,Black Swan,30-Jan-2020,Nonfiction,History,eng
