completion date,Title,author(s),pages,review,rating,status,format,platform,publisher,Imprint,publication date,type,genre,language
6/19/2019,Harry Potter and the Prisoner of Azkaban,J. K. Rowling,480,n,2.5,Completed,Physical Book,,Bloomsbury,Bloomsbury Children's Books,9/1/2014,Fiction,Bildungsroman,eng
5/21/2019,Harry Potter and the Chamber of Secrets,J. K. Rowling,384,n,,Completed,Physical Book,,Bloomsbury,Bloomsbury Children's Books,9/1/2014,Fiction,Bildungsroman,eng
4/11/2019,Harry Potter and the Philosopher's Stone,J. K. Rowling,352,y,4,Completed,Physical Book,,Bloomsbury,Bloomsbury Children's Books,9/1/2014,Fiction,Bildungsroman,eng
9/8/2018,Nomad,James Swallow,512,y,2.5,Completed,Physical Book,,Bonnier Books,Zaffre,12/20/2016,Fiction,Thriller,eng
12/24/2019,Emma,Jane Austen,496,y,3,Completed,Physical Book,,Penguin Random House,Penguin Classics,7/26/2012,Fiction,Bildungsroman,eng
1/25/2021,Persuasion,Jane Austen,272,y,2.5,Completed,Physical Book,,Penguin,Penguin Classics,4/26/2012,Fiction,Romance,eng
6/14/2018,Pride & Prejudice,Jane Austen,329,y,4,Completed,Physical Book,,Wordsworth Editions,Wordsworth Editions,5/5/1992,Fiction,Romance,eng
5/7/2020,Nevernight,Jay Kristoff,480,y,2,Completed,Audiobook,Libby,HarperCollins,HarperVoyager,6/29/2017,Fiction,Fantasy,eng
3/27/2019,Gemina,"Jay Kristoff, Amie Kaufman",672,y,3,Completed,Physical Book,,Oneworld Publications,Rock the Boat,10/20/2016,Fiction,Science Fiction,eng
3/31/2018,Illuminae,"Jay Kristoff, Amie Kaufman",608,y,3,Completed,Physical Book,,Oneworld Publications,Rock the Boat,10/22/2015,Fiction,Science Fiction,eng
5/3/2020,A History of the World in 21 Women,Jenni Murray,304,y,5,Completed,Audiobook,BorrowBox,Oneworld Publications,Oneworld Publications,9/5/2019,Nonfiction,History,eng
12/31/2021,Calling Bullshit: The Art of Scepticism in a Data-Driven World,"Jevin D. West,Carl T. Bergstrom",336,y,4,Completed,Audiobook,BorrowBox,Penguin,Penguin,8/5/2021,Nonfiction,Data,eng
7/3/2019,So You've Been Publicly Shamed,Jon Ronson,320,n,4,Completed,Audiobook,Libby,Macmillan Publishers,Macmillan,12/31/2015,Nonfiction,Law,eng
9/13/2019,The Psychopath Test,Jon Ronson,240,n,4,Completed,Audiobook,Libby,Macmillan Publishers,Macmillan,11/7/2012,Nonfiction,Psychology,eng
6/27/2020,One of Us Is Lying,Karen M. McManus,368,y,4,Completed,Audiobook,Libby,Penguin,Penguin,6/1/2017,Fiction,Thriller,eng
5/31/2021,A Pale View of Hills,Kazuo Ishiguro,192,y,1,Completed,Audiobook,Libby,Faber & Faber,Faber & Faber,2/25/2010,Fiction,Literary Fiction,eng
,Stalking Jack the Ripper,Kerri Maniscalco,352,,,DNF,Audiobook,Libby,Jimmy Patterson,Jimmy Patterson,9/5/2017,Fiction,Mystery,eng
2/20/2022,Daughter of Smoke and Bone,Laini Taylor,448,n,4,Completed,Audiobook,Audible,Hachette Book,Hodder,11/6/2012,Fiction,Fantasy,eng
3/22/2022,The Phone Booth at the Edge of the World: A Novel,Laura Imai Messina,416,y,5,Completed,Audiobook,Audible,Bonnier,Manilla Press,3/4/2021,Fiction,Realist Literature,eng
12/16/2019,Friend Request,Laura Marshall,400,y,2,Completed,Physical Book,,Hachette Book,Sphere,1/11/2018,Fiction,Thriller,eng
10/3/2020,Blood & Sugar,Laura Shepherd-Robinson,464,y,5,Completed,Physical Book,,Macmillan Publishers,Pan,1/9/2020,Fiction,Mystery,eng
4/12/2018,Ruin and Rising,Leigh Bardugo,421,y,3.5,Completed,Physical Book,,Orion,Orion Children's Books,6/28/2018,Fiction,Fantasy,eng
3/8/2018,Siege and Storm,Leigh Bardugo,416,y,3,Completed,Physical Book,,orion,Orion Children's Books,6/28/2018,Fiction,Fantasy,eng
1/26/2018,Shadow and Bone,Leigh Bardugo,352,y,3.5,Completed,Physical Book,,Orion,Orion Children's Books,4/20/2021,Fiction,Fantasy,eng
8/23/2017,Six of Crows,Leigh Bardugo,512,y,3.5,Completed,Physical Book,,Orion,Orion Children's Books,6/2/2016,Fiction,Fantasy,eng
9/5/2017,Crooked Kingdom,Leigh Bardugo,560,y,5,Completed,Physical Book,,Orion,Orion Children's Books,5/4/2017,Fiction,Fantasy,eng
7/12/2021,Across the Nightingale Floor,Lian Hearn,304,y,2.5,Completed,Physical Book,,Macmillan Publishers,Picador,1/12/2017,Fiction,Fantasy,eng
,Holes,Louis Sachar,240,n,4,Completed,Physical Book,,Bloomsbury,Bloomsbury Children's Books,5/7/2015,Fiction,Bildungsroman,eng
7/15/2021,The Hunting Party,Lucy Foley,416,n,4,Completed,Physical Book,,HarperCollins,HarperFiction,10/31/2019,Fiction,Mystery,eng
2/16/2019,The Lady's Guide to Petticoats and Piracy,Mackenzi Lee,480,y,2,Completed,Physical Book,,KTegenBks,KTegenBks,7/9/2020,Fiction,Humour/ Satire,eng
11/6/2017,The Gentleman's Guide to Vice and Virtue,Mackenzi Lee,544,y,4.5,Completed,Physical Book,,KTegenBks,KTegenBks,10/18/2018,Fiction,Humour/ Satire,eng
,Joy at Work: Organizing Your Professional Life,Marie Kondo,288,n,,DNF,Audiobook,BorrowBox,Macmillan Publishers,Bluebird,10/14/2021,Nonfiction,Self Help,eng
5/25/2019,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondo,256,n,3.5,Completed,Audiobook,unknown,Penguin Random House,Vermilion,4/3/2014,Nonfiction,Self Help,eng
4/30/2022,The Subtle Art of Not Giving a F*ck,Mark Manson,304,n,,Completed,Audiobook,unknown,HarperCollins,Harper Paperbacks,11/17/2016,Nonfiction,Self Help,eng
1/10/2020,The Subtle Art of Not Giving a F*ck,Mark Manson,304,y,1,Completed,Audiobook,unknown,HarperCollins,Harper Paperbacks,11/17/2016,Nonfiction,Self Help,eng
10/12/2020,Lady Audley's Secret,Mary Elizabeth Braddon,512,y,5,Completed,Physical Book,,Penguin,Penguin Classics,4/26/2012,Fiction,Mystery,eng
5/11/2021,The Midnight Library,Matt Haig,304,y,5,Completed,Audiobook,BorrowBox,Canongate Books,Canongate Books,2/18/2021,Fiction,Fantasy,eng
1/12/2020,How to Stop Time,Matt Haig,336,y,4.5,Completed,Physical Book,,Canongate Books,Canongate Books,12/14/2017,Fiction,Literary Fiction,eng
12/25/2021,Humble Pi: A Comedy of Maths Errors,Matt Parker,336,y,5,Completed,Audiobook,Audible,Penguin,Penguin,3/5/2020,Nonfiction,Mathematics,eng
10/2/2020,Half a World Away,Mike Gayle,368,y,3,Completed,Physical Book,,Hachette Book,Hodder Paperbacks,2/20/2020,Fiction,Contemporary,eng
5/6/2021,Lonely Castle in the Mirror,Mizuki Tsujimura,368,n,5,Completed,Physical Book,,penguin,Doubleday,4/22/2021,Fiction,Fantasy,eng
4/17/2022,The Man Who Mistook His Job for His Life: How to Thrive at Work by Leaving Your Emotional Baggage Behind,Naomi Shragai,288,y,2,Completed,Audiobook,BorrowBox,WH Allen,WH Allen,8/26/2021,Nonfiction,Psychology,eng
