completion date,Title,author(s),pages,review,rating,status,format,platform,publisher,Imprint,publication date,type,genre,language
03-12-18,妖怪アパートの幽雅な日常 2,香月 日輪,224,y,4,Completed,Physical Book,,講談社,講談社文庫,13-Mar-2009,Fiction,Fantasy,jp
03-11-20,Bad Science,Ben Goldacre,382,y,4,Completed,Physical Book,,HarperCollins,Fourth Estate (GB),1-Apr-2009,Nonfiction,science,eng
,窮鼠はチーズの夢を見る,水城 せとな,200,n,,Completed,Manga,Kindle,小学館,フラワーコミックスα,8-May-2009,Fiction,Romance,jp
03-20-17,家政夫は今日も眠れない,夏目 もも,222,n,,Completed,Physical Book,,万能鑑定士Qの事件簿,角川ルビー文庫,1-Jun-2009,Fiction,Romance,jp
09-25-17,赤い指,東野 圭吾,320,y,4,Completed,Physical Book,,講談社,講談社文庫,12-Aug-2009,Fiction,Mystery,jp
,陽気なギャングの日常と襲撃,伊坂 幸太郎,440,y,4,Completed,Physical Book,,祥伝社,祥伝社文庫,30-Aug-2009,Fiction,Humour/ Satire,jp
11-06-20,The Final Empire,Brandon Sanderson,672,y,4.5,Completed,Physical Book,,Orion,Gollancz,1-Oct-2009,Fiction,Fantasy,eng
07-19-20,The Haunting of Hill House,Shirley Jackson,256,y,3,Completed,Audiobook,Unknown,Penguin Random House,Penguin Classics,1-Oct-2009,Fiction,Horror,eng
02-08-19,ソウルケイジ,誉田 哲也,438,y,3,Completed,Physical Book,,光文社,光文社文庫,8-Oct-2009,Fiction,Mystery,jp
03-31-21,もし高校野球の女子マネージャーがドラッカーの『マネジメント』を読んだら,岩崎 夏海,272,y,5,Completed,E-Book,Kindle,ダイヤモンド社,ダイヤモンド社,4-Dec-2009,Fiction,経営書,jp
11-24-20,The Well of Ascension,Brandon Sanderson,800,y,2.5,Completed,Physical Book,,Orion,Gollancz,10-Dec-2009,Fiction,Fantasy,eng
04-30-18,妖怪アパートの幽雅な日常 3,香月 日輪,192,n,4,Completed,Physical Book,,講談社,講談社文庫,15-Dec-2009,Fiction,Fantasy,jp
03-24-18,さくら荘のペットな彼女,鴨志田 一,327,y,2,Completed,Physical Book,,KADOKAWA,電撃文庫,10-Jan-2010,Fiction,Humour/ Satire,jp
12-22-20,The Hero of Ages,Brandon Sanderson,768,y,3.5,Completed,Physical Book,,Orion,Gollancz,11-Feb-2010,Fiction,Fantasy,eng
05-31-21,A Pale View of Hills,Kazuo Ishiguro,192,y,1,Completed,Audiobook,Libby,Faber & Faber,Faber & Faber,25-Feb-2010,Fiction,Literary Fiction,eng
07-07-17,万能鑑定士Qの事件簿 I,松岡 圭祐,275,y,3,Completed,Physical Book,,KADOKAWA,角川文庫,24-Apr-2010,Fiction,Mystery,jp
,ヘタリア〈3〉Axis Powers,日丸屋 秀和,132,n,,Completed,Manga,,幻冬舎,幻冬舎コミックス,31-May-2010,Fiction,Humour/ Satire,jp
08-30-18,妖怪アパートの幽雅な日常 4,香月 日輪,204,y,4,Completed,Physical Book,,講談社,講談社文庫,15-Jun-2010,Fiction,Fantasy,jp
06-28-17,源氏物語 悲しみの皇子,高山 由紀子,357,y,4.5,Completed,Physical Book,,KADOKAWA,角川書店,30-Sep-2010,Fiction,Fantasy,jp
01-31-18,白銀ジャック,東野 圭吾,416,y,5,Completed,Physical Book,,実業之日本社,実業之日本社文庫,15-Oct-2010,Fiction,Mystery,jp
12-03-20,オレたち花のバブル組,池井戸 潤,368,y,5,Completed,Physical Book,,文藝春秋,文春文庫,10-Dec-2010,Fiction,経済小説,jp
03-17-18,バチカン奇跡調査官 黒の学院,藤木 稟,512,y,4.75,Completed,Physical Book,,KADOKAWA,角川ホラー文庫,25-Dec-2010,Fiction,Horror,jp
06-08-17,さよならドビュッシー,中山 七里,415,y,2,Completed,Physical Book,,宝島社,宝島社文庫,12-Jan-2011,Fiction,Mystery,jp
06-27-19,ダイイング・アイ,東野 圭吾,408,n,4,Completed,Physical Book,,光文社,光文社文庫,12-Jan-2011,Fiction,Mystery,jp
12-22-18,妖怪アパートの幽雅な日常 5,香月 日輪,288,y,4.5,Completed,Physical Book,,講談社,講談社文庫,14-Jan-2011,Fiction,Fantasy,jp
04-25-18,バチカン奇跡調査官 サタンの裁き,藤木 稟,338,n,3,Completed,Physical Book,,KADOKAWA,角川ホラー文庫,25-Jan-2011,Fiction,Horror,jp
06-16-19,シンメトリー,誉田 哲也,326,n,5,Completed,Physical Book,,光文社,光文社文庫,9-Feb-2011,Fiction,Mystery,jp
,0能者ミナト,葉山 透,341,n,,Completed,Physical Book,,KADOKAWA,メディアワークス文庫,25-Feb-2011,Fiction,Mystery,jp
05-25-18,バチカン奇跡調査官 闇の黄金,藤木 稟,320,n,3,Completed,Physical Book,,KADOKAWA,角川ホラー文庫,25-Feb-2011,Fiction,Horror,jp
04-10-22,Economics,The Economist,368,y,5,Completed,Audiobook,Audible,Economist Books,Economist Books,3-Mar-2011,Nonfiction,Economics,eng
12-07-21,Economics,The Economist,368,y,5,Completed,Audiobook,Audible,Economist Books,Economist Books,3-Mar-2011,Nonfiction,Economics,eng
,ビブリア古書堂の事件手帖 ~栞子さんと奇妙な客人たち~,三上 延,322,n,4,Completed,Physical Book,,KADOKAWA,メディアワークス文庫,25-Mar-2011,Fiction,Mystery,jp
06-28-17,蜘蛛の糸,芥川 龍之介,128,n,3,Completed,Physical Book,,KADOKAWA,280円文庫,15-Apr-2011,Fiction,Literary Fiction,jp
02-20-22,Metamorphosis,Franz Kafka,72,y,3,Completed,Audiobook,Audible,Blackstone,Blackstone Audio,27-Apr-2011,Fiction,Literary Fiction,eng
,鬼灯の冷徹(1),江口 夏実,128,y,4,Completed,Manga,,講談社,モーニング KC,23-May-2011,Fiction,Fantasy,jp
02-21-18,陽だまりの彼女,越谷 オサム,342,y,2.5,Completed,Physical Book,,新潮社,新潮文庫,28-May-2011,Fiction,Romance,jp
04-27-18,ジョーカー・ゲーム,柳 広司,280,y,2.5,Completed,Physical Book,,KADOKAWA,角川文庫,23-Jun-2011,Fiction,Thriller,jp
,0能者ミナト<2>,葉山 透,261,n,,Completed,Physical Book,,KADOKAWA,メディアワークス文庫,25-Jun-2011,Fiction,Mystery,jp
,ヘタリア ４ Axis Powers,日丸屋 秀和,133,n,4,Completed,Manga,,幻冬舎,幻冬舎コミックス,30-Jun-2011,Fiction,Humour/ Satire,jp
01-29-19,妖怪アパートの幽雅な日常 6,香月 日輪,256,n,4,Completed,Physical Book,,講談社,講談社文庫,15-Jul-2011,Fiction,Fantasy,jp
12-21-18,バチカン奇跡調査官 千年王国のしらべ,藤木 稟,416,y,3,Completed,Physical Book,,KADOKAWA,角川ホラー文庫,23-Jul-2011,Fiction,Horror,jp
02-14-17,黒執事(12),枢 やな,153,n,,Completed,Manga,,スクウェア・エニックス,Gファンタジーコミックス,27-Jul-2011,Fiction,Horror,jp
01-20-18,鬼灯の冷徹(2),江口 夏実,128,y,3,Completed,Manga,,講談社,モーニング KC,23-Aug-2011,Fiction,Fantasy,jp
04-26-22,23 Things They Don't Tell You About Capitalism,Ha-Joon Chang,288,y,4.5,Completed,Physical Book,,Penguin Random House,Penguin,1-Sep-2011,Nonfiction,Economics,eng
,The Case-Book of Sherlock Holmes,Sir Arthur Conan Doyle,320,n,,Completed,Physical Book,,Penguin Random House,Penguin,1-Sep-2011,Fiction,Mystery,eng
06-11-19,バチカン奇跡調査官 血と薔薇と十字架,藤木 稟,448,n,3,Completed,Physical Book,,KADOKAWA,角川ホラー文庫,25-Oct-2011,Fiction,Horror,jp
02-12-17,黒執事(13),枢 やな,166,n,,Completed,Manga,,スクウェア・エニックス,Gファンタジーコミックス,27-Oct-2011,Fiction,Horror,jp
,世界一初恋 ~横澤隆史の場合~,藤崎 都,212,n,4,Completed,Physical Book,,KADOKAWA,角川ルビー文庫,29-Oct-2011,Fiction,Romance,jp
12-17-16,0能者ミナト<3>,葉山 透,271,n,,Completed,Physical Book,,KADOKAWA,メディアワークス文庫,22-Dec-2011,Fiction,Mystery,jp
01-31-19,妖怪アパートの幽雅な日常7,香月 日輪,232,n,4,Completed,Physical Book,,講談社,講談社文庫,15-Feb-2012,Fiction,Fantasy,jp
02-17-17,黒執事(14),枢 やな,166,n,,Completed,Manga,,スクウェア・エニックス,Gファンタジーコミックス,26-Mar-2012,Fiction,Horror,jp
,Pandora Hearts～Caucus race 2～,"若宮 シノブ, 望月 淳",287,n,,Completed,Physical Book,,スクウェア・エニックス,Ｇファンタジーノベルズ,27-Mar-2012,Fiction,Fantasy,jp
,グッドカミング―トオルとネコ、たまに猫,村上 桃子,251,y,2.5,Completed,Physical Book,,泰文堂,リンダブックス,1-Apr-2012,Fiction,Romance,jp
11-07-20,聖女の救済,東野 圭吾,432,y,4,Completed,Physical Book,,文藝春秋,文春文庫,10-Apr-2012,Fiction,Mystery,jp
03-15-17,走れメロス,太宰 治,125,y,3,Completed,Physical Book,,KADOKAWA,ハルキ文庫,15-Apr-2012,Fiction,Literary Fiction,jp
02-04-20,Tale of Two Cities,Charles Dickens,480,n,2,Completed,Physical Book,,Penguin Random House,Penguin Classics,26-Apr-2012,Fiction,Literary Fiction,eng
01-25-21,Persuasion,Jane Austen,272,y,2.5,Completed,Physical Book,,Penguin Random House,Penguin Classics,26-Apr-2012,Fiction,Romance,eng
10-12-20,Lady Audley's Secret,Mary Elizabeth Braddon,512,y,5,Completed,Physical Book,,Penguin Random House,Penguin Classics,26-Apr-2012,Fiction,Mystery,eng
,ビブリア古書堂の事件手帖3 ~栞子さんと消えない絆~,三上 延,274,n,4,Completed,Physical Book,,KADOKAWA,メディアワークス文庫,21-Jun-2012,Fiction,Mystery,jp
01-10-17,0能者ミナト<4>,葉山 透,248,y,4,Completed,Physical Book,,KADOKAWA,メディアワークス文庫,25-Jul-2012,Fiction,Mystery,jp
12-24-19,Emma,Jane Austen,496,y,3,Completed,Physical Book,,Penguin Random House,Penguin Classics,26-Jul-2012,Fiction,Bildungsroman,eng
,ヘタリア 5 Axis Powers,日丸屋 秀和,133,n,,Completed,Manga,,幻冬舎,幻冬舎コミックス,31-Jul-2012,Fiction,Humour/ Satire,jp
09-13-21,勝手にふるえてろ,綿矢 りさ,218,y,4,Completed,Audiobook,Audible,文藝春秋,文春文庫,3-Aug-2012,Fiction,Bildungsroman,jp
,世界一初恋 ~横澤隆史の場合2~,藤崎 都,233,n,4,Completed,Physical Book,,KADOKAWA,角川ルビー文庫,31-Aug-2012,Fiction,Romance,jp
07-13-17,Live and Let Die,Ian Fleming,336,y,4,Completed,Physical Book,,Penguin Random House,Vintage Classics,6-Sep-2012,Fiction,Thriller,eng
05-18-17,Casino Royale,Ian Fleming,256,y,4.5,Completed,Physical Book,,Penguin Random House,Vintage Classics,6-Sep-2012,Fiction,Thriller,eng
01-05-18,Diamonds are Forever,Ian Fleming,336,y,2.5,Completed,Physical Book,,Penguin Random House,Vintage Classics,6-Sep-2012,Fiction,Thriller,eng
12-10-17,Moonraker,Ian Fleming,352,y,3.75,Completed,Physical Book,,Penguin Random House,Vintage Classics,6-Sep-2012,Fiction,Thriller,eng
03-19-19,A Room with a View,E.M. Forster,256,y,4,Completed,Physical Book,,Penguin Random House,Penguin Classics,27-Sep-2012,Fiction,Romance,eng
02-17-17,黒執事(15),枢 やな,158,n,,Completed,Manga,,スクウェア・エニックス,Gファンタジーコミックス,27-Oct-2012,Fiction,Horror,jp
02-20-22,Daughter of Smoke and Bone,Laini Taylor,448,n,4,Completed,Audiobook,Audible,Hachette Book,Hodder,6-Nov-2012,Fiction,Fantasy,eng
09-13-19,The Psychopath Test,Jon Ronson,240,n,4,Completed,Audiobook,Libby,Macmillan Publishers,Macmillan,7-Nov-2012,Nonfiction,Psychology,eng
01-26-19,The Woman in White,Wilkie Collins,736,y,4,Completed,Physical Book,,Penguin Random House,Penguin Classics,29-Nov-2012,Fiction,Mystery,eng
